[4####]
9 8 0   145.0  145.0
 2312999.4230007.860E-043 1.174E-08.05930.067 5213.44300.670.000000                                                el  66      135540314210 9 8 0   133.0  133.0
 2412999.4240002.300E-069 1.278E-03.06470.07119783.57100.720.000000                                                el  53      135540314210 9 8 0   642.0  642.0
 2412999.4240003.060E-041 3.728E-11.07220.097 2684.19700.700.000000                                                el  19      136650314210 9 8 0   234.0  234.0
 2112999.4240001.200E-062 8.515E-05.05550.06217804.50600.650.000000                                                el 100      134440314210 9 8 0   201.0  201.0
 2112999.4240003.290E-047 2.790E-08.06640.077 8668.57200.750.000000                                                el  43      136550314210 9 8 0    87.0   87.0
 2212999.4240002.240E-041 7.267E-07.06590.074 5673.42300.730.000000                                                el  48      135550314210 9 8 0   194.0  194.0
 2212999.4250003.220E-068 4.173E-05.05610.06319357.03200.650.000000                                                el  93      134440314210 9 8 0   374.0  374.0
 2112999.4250001.150E-057 1.281E-04.05750.06415480.54100.650.000000                                                el  79      135540314210 9 8 0   159.0  159.0
 2112999.4250003.620E-046 8.610E-07.06630.077 8885.41600.750.000000                                                el  44      135550314210 9 8 0    89.0   89.0
 2112999.4250001.040E-065 3.984E-05.05980.06719007.58900.680.000000                                                el  64      135540314210 9 8 0   129.0  129.0
 2412999.4250001.480E-071 4.384E-03.06010.06821110.57100.680.000000                                                el  63      135540314210 9 8 0   762.0  762.0
 2112999.4250002.250E-047 1.116E-05.06790.085 9925.64000.750.000000                                                el  33      136650314210 9 8 0    67.0   67.0
 2312999.4250004.690E-038 1.579E-10.06660.079 1967.66400.750.000000                                                el  41      136550314210 9 8 0    83.0   83.0
 2312999.4250006.680E-058 1.215E-04.06320.07014220.76900.710.000000                                                el  56      135540314210 9 8 0   113.0  113.0
 2212999.4250001.320E-049 2.075E-06.06560.073 9795.98700.730.000000                                                el  50      135550314210 9 8 0   202.0  202.0
 2212999.4250001.260E-066 9.480E-06.05570.06218306.38900.650.000000                                                el  97      134440314210 9 8 0   390.0  390.0
 2312999.4250006.630E-043 1.445E-06.07060.094 6024.56300.720.000000                                                el  23      136650314210 9 8 0    47.0   47.0
 2112999.4260002.670E-067 6.922E-05.06010.06819871.44400.680.000000                                                el  63      135540314210 9 8 0   127.0  127.0
 2112999.4260001.170E-066 3.215E-05.05130.05619589.97000.700.000000                                                el 152      133330314210 9 8 0   305.0  305.0
 2412999.4260001.270E-060 1.353E-04.06420.07115184.37200.710.000000                                                el  54      135540314210 9 8 0   654.0  654.0
 2412999.4260004.850E-051 8.058E-07.06080.068 9616.15400.690.000000                                                el  61      135540314210 9 8 0   738.0  738.0
 2112999.4260004.480E-037 4.501E-12.06080.068 2142.84200.690.000000                                                el  61      135540314210 9 8 0   123.0  123.0
 2112999.4260003.200E-058 7.303E-05.05710.06415635.72300.650.000000                                                el  82      134540314210 9 8 0   165.0  165.0
 2412999.4260002.820E-042 4.452E-08.06810.086 4737.40200.750.000000                                                el  32      136650314210 9 8 0   390.0  390.0
 2212999.4260005.290E-047 1.783E-05.06850.088 8901.76500.750.000000                                                el  30      136650314210 9 8 0   122.0  122.0
 2212999.4260001.340E-068 2.080E-04.06010.06819788.26700.680.000000                                                el  63      135540314210 9 8 0   254.0  254.0
 2212999.4260004.100E-056 1.495E-05.05800.06513365.02400.660.000000                                                el  74      135540314210 9 8 0   298.0  298.0
 2212999.4260001.870E-053 1.443E-05.05710.06412119.07300.650.000000                                                el  82      134540314210 9 8 0   330.0  330.0
 2112999.4270004.180E-039 2.913E-09.05770.065 4483.65300.650.000000                                                el  77      135540314210 9 8 0   155.0  155.0
 2112999.4270001.340E-043 4.300E-07.06560.073 7551.92500.730.000000                                                el  50      135550314210 9 8 0   101.0  101.0
 2312999.4270004.510E-045 1.246E-07.06850.088 6600.75300.750.000000                                                el  30      136650314210 9 8 0    61.0   61.0
 2212999.4270007.920E-074 1.050E-03.06700.08122495.01500.760.000000                                                el  38      136650314210 9 8 0   154.0  154.0
 2212999.4270009.770E-045 2.017E-08.05890.066 6598.90200.670.000000                                                el  68      135540314210 9 8 0   274.0  274.0
 2212999.4270002.690E-071 9.330E-05.06040.06820897.82000.690.000000                                                el  62      135540314210 9 8 0   250.0  250.0
 2412999.4270004.490E-046 1.109E-08.06170.069 6374.96700.700.000000                                                el  59      135540314210 9 8 0   714.0  714.0
 2412999.4280005.170E-057 1.036E-05.05430.06013098.53400.670.000000                                                el 114      134440314210 9 8 0  1374.0 1374.0
 2312999.4280001.290E-050 3.326E-05.06270.07010506.53300.700.000000                                                el  57      135540314210 9 8 0   115.0  115.0
 2312999.4280001.020E-052 7.813E-05.06420.07111666.94300.710.000000                                                el  54      135540314210 9 8 0   109.0  109.0
 2312999.4280002.560E-056 3.628E-05.05690.06413304.84300.650.000000                                                el  84      134540314210 9 8 0   169.0  169.0
 2312999.4280002.730E-045 6.269E-06.06850.088 7510.06600.750.000000                                                el  30      136650314210 9 8 0    61.0   61.0
 2312999.4290002.400E-042 5.253E-09.06640.077 4730.99800.750.000000                                                el  43      136550314210 9 8 0    87.0   87.0
 2312999.4290009.380E-056 1.012E-04.05800.06513222.91800.660.000000                                                el  74      135540314210 9 8 0   149.0  149.0
